place_id,name,address
ChIJ76sBxLc85okRQRXhfohYfLk,Essex Savings Bank - Plains Road Branch,"35 Plains Rd, Essex, CT 06426, United States"
ChIJdeNyzsQ85okR5Nv0w4kmg_Q,Essex Savings Bank - Essex Village Branch,"9 Main St, Essex, CT 06426, United States"
ChIJKQTnlOY75okRFYaLASaN3ds,Essex Savings Bank - Chester Branch,"203 Middlesex Turnpike, Chester, CT 06412, United States"
ChIJuX1Q9U8p5okRQ9qhjdmrs1U,Essex Savings Bank - Madison Branch,"99 Durham Rd, Madison, CT 06443, United States"
ChIJ02hpEFMi5okR2Pbzzd2--t8,Essex Savings Bank - Old Saybrook Branch,"155 Main St, Old Saybrook, CT 06475, United States"
ChIJqzuKNK8i5okR679YlFfL1AI,Essex Savings Bank - Old Lyme Branch,"101 Halls Rd, Old Lyme, CT 06371, United States"
