query,business_name,review_rating,review_text,review_photos,review_tags,datetime_utc,timestamp,review_id,author_title,author_friend_count,author_photo_count,author_reviews_count,author_location,author_image,author_id,author_url,owner_reply,owner_reply_title,owner_reply_datetime_utc,owner_reply_timestamp,next_page_cursor
https://www.yelp.com/biz/thomaston-savings-bank-thomaston-5?osq=Thomaston Savings Bank,Thomaston Savings Bank,1,"One of the most dysfunctional organizations I have ever had to deal with. I call because I have an issue with my account and I can't hear the CSR because if the laughing and giggling there, sound like they are in a bar during happy hour.  The only reason I deal with them is because it's the closest bank to me but now time to change. 

My advise is to don't get involved with this bank!",[],"{'helpful': 0, 'thanks': 0, 'love_this': 0, 'oh_no': 0}",01/14/2020 13:43:24,1579009404,T2RLQpyB0E1c5dPnnhZ1Fg,J M.,0,9,38,"Decatur, TN",https://s3-media0.fl.yelpcdn.com/photo/xg6fa41B0aOTTHSCVbkptg/180s.jpg,D2hy-m3BO80oMagw-MfnNg,https://www.yelp.com/user_details?userid=D2hy-m3BO80oMagw-MfnNg,,,,,
https://www.yelp.com/biz/thomaston-savings-bank-thomaston-5?osq=Thomaston Savings Bank,Thomaston Savings Bank,1,Having a problem with this bank on automatic renewal of a CD for my 88 year old mother in assisted living.    I am giving them a week to try and work it out.   Stay tuned.,[],"{'helpful': 1, 'thanks': 0, 'love_this': 0, 'oh_no': 0}",09/01/2018 19:19:03,1535829543,rRWQ2_acg-b4j6wDSP1-EA,Gary K.,0,0,8,"Torrington, CT",https://s3-media0.fl.yelpcdn.com/photo/DvZHC3ylEUH26g0-OIxK4Q/180s.jpg,4vlmn0_-Er6uqSNy14KQsA,https://www.yelp.com/user_details?userid=4vlmn0_-Er6uqSNy14KQsA,,,,,
https://www.yelp.com/biz/thomaston-savings-bank-thomaston-5?osq=Thomaston Savings Bank,Thomaston Savings Bank,5,"This bank is the best bank I've ever experienced the pleasure of doing business with.  They are professional, yet friendly and always very efficient.  Thank you for being ""My Bank"".",[],"{'helpful': 0, 'thanks': 0, 'love_this': 0, 'oh_no': 0}",05/31/2020 22:10:40,1590963040,876wh2fHq6PdzikC4ojI0w,Tracy K.,0,0,2,"San Francisco, CA",,3A8etg_FjVJjNNXwDvs_eQ,https://www.yelp.com/user_details?userid=3A8etg_FjVJjNNXwDvs_eQ,,,,,
