created_at,text
,"RT @CordovaDLA_: El Tailgate Block Party de #WrestleMania nos trajo hasta el Citizens Bank Park, casa de mis @Phillies 

Se enciende el amb…"
,"El Tailgate Block Party de #WrestleMania nos trajo hasta el Citizens Bank Park, casa de mis @Phillies 

Se enciende el ambiente previo a la noche de 2 #RomanReigns #CodyRhodes https://t.co/JMMduBFFXc"
,"Citizens Bank Park is playing all the WWE themes right now and even from outside the stadium, the sound is 5000x better than it was across the street inside Lincoln Financial Field last night. Really hope the audio issues are fixed for tonight. #WrestleMania"
,@FandomPhases We're at citizens bank park and Roman's music came on.  Toooons of ☝🏻 going up
,"Memorial Stadium 
Oriole Park at Camden Yards
Veterans Stadium 
Citizens Bank Park
Great American Park 
RFK
FedEx Field
Lincoln Financial Field 
Hard Rock Stadium
Civic Arena
PPG Paints Arena 
Capital One Arena 
Wells Fargo Center
Madison Square Garden 
Rocket Mortgage Fieldhouse https://t.co/FXWWikuczo"
,"More baseball murals/street art in Philly! Imagine how cool the mural in Citizens Bank Park will be! There’s also another mural of Phillies great Dick Allen coming to S. Broad later this year. (Again, support Philly art and artists &amp; support @muralarts too.) #RingTheBell https://t.co/ddg4CAKc4y"
,Love seeing @maxxinedupri and @TozawaAkira at Citizens Bank Park for the Tailgate! #WrestleMania https://t.co/fENlLexWnI
,"mlb: 
oracle park, citi field, oakland coliseum, yankee stadium, great american ballpark, nationals park, citizens bank field, t mobile park, angels stadium
nhl/ahl:
pnc arena, sap center, tech cu arena, bojangles coliseum 
nba:
barclays center, chase center, golden 1 arena https://t.co/5REbkV64Eq"
,"College BBall:
Cassell Coliseum 
Cameron Indoor Stadium 
Patriot Center 

NHL/NBA:
Capital One Arena
Old Joe Louis Arena (🥺)

MLB:
Nationals Park
Oriole Park at Camden Yards
Target Field
Citizens Bank Park
Wrigley Field

I THINK that’s everything but I’m sure I forgot some 😅"
,"Rogers Centre
Citizens Bank Park
MetLife Stadium 
XL center 
Citi Field
Mercedes-Benz stadium
Autzen Stadium
Nissan Stadium
Carrier Dome
Allegiant Stadium
PNC Park
First Bank Stadium
Innovative Field https://t.co/r3EZJ9haqE"
,RT @2004_eagles: 5 more days till the official opening of the brand new citizens bank park .
,"NFL: 
Lambeau 
EverBank 

MLB:
Milwaukee County
Miller Park/AmFam
Metronome/Target
Turner/Truist
Nationals Park
Kauffman Stadium
Busch (III)
Guarantee Rate Field
Camden Yards
Citizens Bank
NHL: 
United (not for the Blackhawks)

NBA:
Bradley Center

Misc:
Resch
Hullman
Fiserve https://t.co/R4vfZ2msru"
,"🚨Most home runs hit by a player at Citizens Bank Park🚨#Phillies  

 Ryan Howard - 198

(visitor) - David Wright - 22 https://t.co/F9Dw1VlgWa"
,5 more days till the official opening of the brand new citizens bank park . https://t.co/KgFupfuath
,"Prudential Center
MSG
UBS Arena
PPG Paints Arena
Wells Fargo Center
Capital One Arena
KeyBank Center
Honda Center
https://t.co/WhQy1dUPGc Arena
Nationwide Arena
Pegula Ice Arena
Beaver Stadium
SHI Stadium
MetLife Stadium
Citi Field
Citizens Bank Park
PNC Park https://t.co/nzflhbtyey"
,"Lincoln Financial Field
Citizens Bank Park
FedEx Field 
Capital One Arena 
Petco Park
Nissan Stadium 
M&amp;T bank field 
Hienz Field 
PNC Park
SOFI Stadium 
Dodger Stadium 
Angels Stadium 
Wells Fargo Center 
Subaru Park 
Nationals Park
Crypto Arena 
Barclays Center https://t.co/PhM2e9jUHW"
,"MLB:
County Stadium
Miller Park/An Fam
Busch Stadium I and II
Wrigley
Guaranteed Rate Field
Citizens Bank Park
Citi Field
Camden Yards
Nats Park
Turner Field
Minute Maid Park
Fenway
Both OH stadiums
Metrodome
Kauffman Stadium
PNC Park
T-Mobile Park
Globe Life Park
Dodgers Stadium https://t.co/XwjfAVv6fC"
